id	gender	age	adv	category	frequency	word_length	surprisal	adv_RT	sentence	sentence_RT
007	F	27	languidly	rare	2.04	9	46.11696910858154	3.8387017250061035	5	12.713017225265503
007	F	27	audaciously	rare	1.87	11	34.2632417678833	4.319358825683594	11	23.564186096191406
007	F	27	angrily	common	3.34	7	15.555511474609375	6.475406169891357	4	10.944314241409302
007	F	27	dexterously	rare	1.43	11	33.66762161254883	3.0425307750701904	1	8.222018003463745
007	F	27	normally	common	4.57	8	15.229681015014648	0.9327690601348877	10	4.5429558753967285
007	F	27	insidiously	rare	2.09	11	58.4285945892334	0.4464569091796875	7	4.041871070861816
007	F	27	sedulously	rare	1.2	10	31.638813018798828	0.5555927753448486	9	3.892815113067627
007	F	27	desperately	common	3.98	11	13.908486366271973	0.9543371200561523	6	3.629310131072998
007	F	27	passionately	common	3.33	12	17.545166015625	2.692331075668335	2	9.264349937438965
007	F	27	happily	common	4.11	7	16.239721298217773	0.8717129230499268	0	3.3086581230163574
007	F	27	emotionally	common	4.04	11	14.575103759765625	2.4574999809265137	8	7.354151964187622
007	F	27	ferociously	rare	2.46	11	59.79363441467285	4.799702167510986	3	7.794642925262451
001	M	29	nervously	common	3.27	9	15.868431091308594	3.2585039138793945	5	13.659119844436646
001	M	29	belligerently	rare	1.9	13	55.433589935302734	5.704798221588135	2	23.77293300628662
001	M	29	successfully	common	4.45	12	15.366941452026367	3.7954978942871094	1	15.68108320236206
001	M	29	amiably	rare	2.02	7	34.04397487640381	3.6979458332061768	0	11.13756012916565
001	M	29	affably	rare	1.68	7	33.415852546691895	4.092227220535278	4	12.141029119491577
001	M	29	petulantly	rare	1.7	10	61.445457458496094	6.377954959869385	8	23.518558025360107
001	M	29	constantly	common	4.53	10	15.275320053100586	5.276173830032349	7	9.674390077590942
001	M	29	mundanely	rare	1.19	9	31.853524208068848	3.098947048187256	10	5.88568902015686
001	M	29	unexpectedly	common	3.71	12	15.709169387817383	1.2254359722137451	3	3.454153060913086
001	M	29	tenaciously	rare	2.19	11	31.364498138427734	4.025083065032959	6	10.96356201171875
001	M	29	carefully	common	4.46	9	14.272598266601562	4.167287111282349	9	14.571271896362305
001	M	29	confidently	common	3.41	11	16.01131820678711	4.895378828048706	11	20.700677156448364
006	F	23	tenaciously	rare	2.19	11	31.364498138427734	0.73297119140625	6	4.5539679527282715
006	F	23	carefully	common	4.46	9	14.272598266601562	0.6769669055938721	9	5.296067953109741
006	F	23	affably	rare	1.68	7	33.415852546691895	0.5278911590576172	4	4.05364203453064
006	F	23	amiably	rare	2.02	7	34.04397487640381	0.9739010334014893	0	7.924059867858887
006	F	23	constantly	common	4.53	10	15.275320053100586	0.6747598648071289	7	4.5930938720703125
006	F	23	belligerently	rare	1.9	13	55.433589935302734	1.0249769687652588	2	6.416298151016235
006	F	23	successfully	common	4.45	12	15.366941452026367	0.772423267364502	1	4.46205997467041
006	F	23	petulantly	rare	1.7	10	61.445457458496094	1.4800879955291748	8	6.244132041931152
006	F	23	nervously	common	3.27	9	15.868431091308594	0.8854668140411377	5	4.860199213027954
006	F	23	confidently	common	3.41	11	16.01131820678711	0.7212128639221191	11	5.835026979446411
006	F	23	unexpectedly	common	3.71	12	15.709169387817383	0.5253090858459473	3	2.477492094039917
006	F	23	mundanely	rare	1.19	9	31.853524208068848	1.276353120803833	10	4.76436185836792
008	F	23	ferociously	rare	2.46	11	59.79363441467285	5.426616907119751	3	7.281554937362671
008	F	23	angrily	common	3.34	7	15.555511474609375	1.0416629314422607	4	5.172930002212524
008	F	23	passionately	common	3.33	12	17.545166015625	0.7553668022155762	2	8.143430948257446
008	F	23	languidly	rare	2.04	9	46.11696910858154	0.6506688594818115	5	6.07449197769165
008	F	23	emotionally	common	4.04	11	14.575103759765625	0.8601279258728027	8	5.348971128463745
008	F	23	happily	common	4.11	7	16.239721298217773	0.6287081241607666	0	3.4177281856536865
008	F	23	dexterously	rare	1.43	11	33.66762161254883	0.5484299659729004	1	4.00848913192749
008	F	23	normally	common	4.57	8	15.229681015014648	2.8562629222869873	10	4.741091012954712
008	F	23	audaciously	rare	1.87	11	34.2632417678833	0.7186009883880615	11	6.620321035385132
008	F	23	insidiously	rare	2.09	11	58.4285945892334	0.5043940544128418	7	4.055347919464111
008	F	23	desperately	common	3.98	11	13.908486366271973	0.4748561382293701	6	3.036675214767456
008	F	23	sedulously	rare	1.2	10	31.638813018798828	1.1154639720916748	9	4.967934846878052
002	F	20	amiably	rare	2.02	7	34.04397487640381	0.5882489681243896	0	6.061615228652954
002	F	20	successfully	common	4.45	12	15.366941452026367	0.5805771350860596	1	5.548313856124878
002	F	20	unexpectedly	common	3.71	12	15.709169387817383	0.6208348274230957	3	4.065309047698975
002	F	20	affably	rare	1.68	7	33.415852546691895	0.534451961517334	4	4.866699934005737
002	F	20	belligerently	rare	1.9	13	55.433589935302734	2.3376588821411133	2	10.78779911994934
002	F	20	petulantly	rare	1.7	10	61.445457458496094	1.2727370262145996	8	5.468821048736572
002	F	20	carefully	common	4.46	9	14.272598266601562	0.5322978496551514	9	4.713651180267334
002	F	20	mundanely	rare	1.19	9	31.853524208068848	0.5839002132415771	10	2.701540231704712
002	F	20	confidently	common	3.41	11	16.01131820678711	0.7976961135864258	11	6.639482736587524
002	F	20	tenaciously	rare	2.19	11	31.364498138427734	0.774399995803833	6	3.959017038345337
002	F	20	nervously	common	3.27	9	15.868431091308594	0.4809739589691162	5	3.7421789169311523
002	F	20	constantly	common	4.53	10	15.275320053100586	0.34262776374816895	7	2.65297269821167
